Entity,Code,Year,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh,Nuclear Consumption - TWh,Hydro Consumption - TWh,Wind Consumption - TWh,Solar Consumption - TWh,Geo Biomass Other - TWh
Finland,FIN,1992,55.7136116027832,131.24066162109375,27.59000015258789,54.27120590209961,44.67443084716797,0.007083333563059568,0.0017750000115484,4.949999809265137
Finland,FIN,1993,63.68888854980469,124.88456726074219,28.510000228881836,56.15292739868164,39.841697692871094,0.013000000268220901,0.0020694443956017494,5.958000183105469
Finland,FIN,1994,77.55638885498047,129.3904266357422,31.469999313354492,54.74312973022461,34.83273696899414,0.0212777778506279,0.0023666666820645332,6.465000152587891
Finland,FIN,1995,68.6050033569336,117.56855010986328,32.68000030517578,54.14575958251953,38.195640563964844,0.03193555399775505,0.0023666666820645332,6.607999801635742
Finland,FIN,1996,81.7469482421875,122.37474060058594,34.18944549560547,55.7915153503418,34.9572868347168,0.03252694383263588,0.002944444539025426,5.888999938964844
Finland,FIN,1997,77.42805480957031,120.58438110351562,33.63833236694336,59.889488220214844,35.22969055175781,0.04908611252903938,0.003555555595085025,7.890999794006348
Finland,FIN,1998,63.53888702392578,125.79058837890625,38.5363883972168,62.65232849121094,44.13560485839844,0.0680108368396759,0.0038333332631736994,9.333000183105469
Finland,FIN,1999,61.565555572509766,127.17878723144531,38.58000183105469,65.89008331298828,37.4752082824707,0.14489249885082245,0.004138888791203499,8.36299991607666
Finland,FIN,2000,58.32722091674805,126.42577362060547,39.40999984741211,64.44145965576172,43.16845703125,0.22650527954101562,0.0047222222201526165,8.588526725769043
Finland,FIN,2001,70.48916625976562,124.03573608398438,42.7599983215332,64.85063171386719,38.6307258605957,0.20446999371051788,0.004999999888241291,8.21178913116455
Finland,FIN,2002,76.59111022949219,126.92369842529297,42.459999084472656,63.07866668701172,31.320274353027344,0.18388666212558746,0.0055555556900799274,8.93242073059082
Finland,FIN,2003,95.59249877929688,130.9998779296875,47,63.94890594482422,27.697649002075195,0.2665213942527771,0.006083333399146795,9.291999816894531
Finland,FIN,2004,85.87944793701172,122.12345123291016,45.279998779296875,63.495018005371094,43.268150329589844,0.3466627895832062,0.006916666869074106,10.37094783782959
Finland,FIN,2005,55.168888092041016,126.67819213867188,41.43000030517578,64.66195678710938,38.83830261230469,0.4819124937057495,0.007444444578140974,9.479474067687988
Finland,FIN,2006,86.15389251708984,122.85047912597656,44.279998779296875,63.24156188964844,32.51521682739258,0.4344933331012726,0.009666666388511658,10.756631851196289
Finland,FIN,2007,81.35305786132812,123.89983367919922,40.959999084472656,64.26753997802734,39.959712982177734,0.5327239036560059,0.01075000036507845,9.928000450134277
Finland,FIN,2008,62.043609619140625,119.76417541503906,41.88055419921875,62.58680725097656,47.99664306640625,0.7320200204849243,0.010972222313284874,10.391263008117676
Finland,FIN,2009,62.489723205566406,112.83100891113281,37.380001068115234,63.75507736206055,35.46744155883789,0.7724641561508179,0.012000000104308128,8.743578910827637
Finland,FIN,2010,78.92500305175781,117.16831970214844,41.29999923706055,61.36832809448242,35.72646713256836,0.8168527483940125,0.013055555522441864,10.980210304260254
Finland,FIN,2011,64.11750030517578,114.58838653564453,36.119998931884766,62.04325485229492,34.21372604370117,1.3280164003372192,0.014611111022531986,11.182842254638672
Finland,FIN,2012,52.50166702270508,110.05728149414062,31.94499969482422,61.105831146240234,46.16117477416992,1.3553385734558105,0.015638889744877815,11.101263046264648
Finland,FIN,2013,58.04138946533203,114.50165557861328,29.706666946411133,62.418949127197266,34.88644790649414,2.1086559295654297,0.017722222954034805,11.942631721496582
