country,year,source,cost
Brazil,2009,Concentrated solar power ,NA
Brazil,2009,Hydropower ,NA
Brazil,2009,Onshore wind ,0.1125968
Brazil,2010,Bioenergy ,NA
Brazil,2010,Geothermal ,NA
Brazil,2010,Offshore wind ,NA
Brazil,2010,Solar photovoltaic ,NA
Brazil,2010,Concentrated solar power ,NA
Brazil,2010,Hydropower ,NA
Brazil,2010,Onshore wind ,0.109430514
Brazil,2011,Bioenergy ,NA
Brazil,2011,Geothermal ,NA
Brazil,2011,Offshore wind ,NA
Brazil,2011,Solar photovoltaic ,NA
Brazil,2011,Concentrated solar power ,NA
Brazil,2011,Hydropower ,NA
Brazil,2011,Onshore wind ,0.08839128
Brazil,2012,Bioenergy ,NA
Brazil,2012,Geothermal ,NA
Brazil,2012,Offshore wind ,NA
Brazil,2012,Solar photovoltaic ,NA
Brazil,2012,Concentrated solar power ,NA
Brazil,2012,Hydropower ,NA
Brazil,2012,Onshore wind ,0.084496714
Brazil,2013,Bioenergy ,NA
Brazil,2013,Geothermal ,NA
Brazil,2013,Offshore wind ,NA
Brazil,2013,Solar photovoltaic ,NA
Brazil,2013,Concentrated solar power ,NA
Brazil,2013,Hydropower ,NA
Brazil,2013,Onshore wind ,0.07826178
Brazil,2014,Bioenergy ,NA
Brazil,2014,Geothermal ,NA
Brazil,2014,Offshore wind ,NA
Brazil,2014,Solar photovoltaic ,NA
Brazil,2014,Concentrated solar power ,NA
Brazil,2014,Hydropower ,NA
Brazil,2014,Onshore wind ,0.06430881
Brazil,2015,Bioenergy ,NA
Brazil,2015,Geothermal ,NA
Brazil,2015,Offshore wind ,NA
Brazil,2015,Solar photovoltaic ,NA
Brazil,2015,Concentrated solar power ,NA
Brazil,2015,Hydropower ,NA
Brazil,2015,Onshore wind ,0.055246472
Brazil,2016,Bioenergy ,NA
Brazil,2016,Geothermal ,NA
Brazil,2016,Offshore wind ,NA
Brazil,2016,Solar photovoltaic ,NA
Brazil,2016,Concentrated solar power ,NA
Brazil,2016,Hydropower ,NA
Brazil,2016,Onshore wind ,0.053584162
Brazil,2017,Bioenergy ,NA
Brazil,2017,Geothermal ,NA
Brazil,2017,Offshore wind ,NA
Brazil,2017,Solar photovoltaic ,NA
Brazil,2017,Concentrated solar power ,NA
Brazil,2017,Hydropower ,NA
Brazil,2017,Onshore wind ,0.045001924
Brazil,2018,Bioenergy ,NA
Brazil,2018,Geothermal ,NA
Brazil,2018,Offshore wind ,NA
Brazil,2018,Solar photovoltaic ,NA
Brazil,2018,Concentrated solar power ,NA
Brazil,2018,Hydropower ,NA
Brazil,2018,Onshore wind ,0.044300146
Brazil,2019,Bioenergy ,NA
Brazil,2019,Geothermal ,NA
Brazil,2019,Offshore wind ,NA
Brazil,2019,Solar photovoltaic ,NA
Brazil,2019,Concentrated solar power ,NA
Brazil,2019,Hydropower ,NA
Brazil,2019,Onshore wind ,0.034077007
Brazil,2020,Bioenergy ,NA
Brazil,2020,Geothermal ,NA
Brazil,2020,Offshore wind ,NA
Brazil,2020,Solar photovoltaic ,NA
Brazil,2020,Concentrated solar power ,NA
Brazil,2020,Hydropower ,NA
Brazil,2020,Onshore wind ,0.032227434
Brazil,2021,Bioenergy ,NA
Brazil,2021,Geothermal ,NA
Brazil,2021,Offshore wind ,NA
Brazil,2021,Solar photovoltaic ,NA
Brazil,2021,Concentrated solar power ,NA
Brazil,2021,Hydropower ,NA
Brazil,2021,Onshore wind ,0.023675622
Canada,1990,Bioenergy ,NA
Canada,1990,Geothermal ,NA
Canada,1990,Offshore wind ,NA
Canada,1990,Solar photovoltaic ,NA
Canada,1990,Concentrated solar power ,NA
Canada,1990,Hydropower ,NA
Canada,1990,Onshore wind ,0.1940042
Canada,1992,Bioenergy ,NA
Canada,1992,Geothermal ,NA
Canada,1992,Offshore wind ,NA
Canada,1992,Solar photovoltaic ,NA
Canada,1992,Concentrated solar power ,NA
Canada,1992,Hydropower ,NA
Canada,1992,Onshore wind ,0.18494709
Canada,1994,Bioenergy ,NA
Canada,1994,Geothermal ,NA
Canada,1994,Offshore wind ,NA
Canada,1994,Solar photovoltaic ,NA
Canada,1994,Concentrated solar power ,NA
Canada,1994,Hydropower ,NA
Canada,1994,Onshore wind ,0.09279627
Canada,1996,Bioenergy ,NA
