beach,master_id,material,structure,cm_from_tape,size_cm,quantity,m_from_base,frac_from_base
south,south_8,Filament,Fragment,27,30,1,11.1597308138115,0.697142857142857
south,south_8,Hard plastic,Cup,16,11,1,15.8553552545956,0.990476190476191
south,south_8,Glass,Bottle,81,4,1,15.5809356444199,0.973333333333333
south,south_8,Filament,Fragment,99,16,1,15.6114267122172,0.975238095238095
south,south_9,Filament,Fragment,80,45,1,21.7298748459641,0.806338028169014
south,south_9,Filament,Fragment,35,6,1,26.3320535797164,0.977112676056338
south,south_10,Hard plastic,Fragment,140,20,1,17.9423733881345,0.556302521008403
south,south_10,Filament,Fragment,10,17,1,23.6340628315004,0.732773109243698
south,south_10,Hard plastic,Bottle,148,15,1,24.0893979869697,0.746890756302521
south,south_11,Thin plastic,Bag,120,29,1,0.608047878231823,0.0183333333333333
south,south_11,Glass,Bottle,30,8,1,11.1659701275298,0.336666666666667
south,south_12,Thin plastic,Bag,20,31,1,7.38373933072349,0.18408736349454
south,south_13,Hard plastic,Bottle,37,11,1,39.5077508512483,0.843795620437956
south,south_14,Thin plastic,Other,6,19,1,16.1164669159222,0.319718309859155
south,south_14,Hard plastic,Cup,115,13,1,36.5637905801758,0.725352112676056
south,south_14,Thin plastic,Bag,20,8,1,38.3387318704756,0.76056338028169
south,south_14,Thin plastic,Fragment,15,7,1,49.5563608251703,0.983098591549296
south,south_15,Thin plastic,Fragment,120,20,1,16.9488703885671,0.619298245614035
south,south_15,Thin plastic,Fragment,61,6,1,20.9820293478862,0.766666666666667
south,south_16,Hard plastic,Cup,87,15,1,18.3941672077329,0.699115044247788
south,south_16,Other,Fragment,95,80,1,23.7494310783386,0.902654867256637
south,south_16,Filament,Fragment,40,10,1,23.5165935187471,0.893805309734513
south,south_18,Hard plastic,Cup,87,6,1,9.51699178225495,0.398916967509025
south,south_18,Hard plastic,Bottle,76,15,1,21.6177822384253,0.906137184115523
south,south_18,Hard plastic,Bottle,125,15,1,23.426441310166,0.981949458483754
south,south_19,Hard plastic,Bottle,16,22,1,0.668306427371948,0.0199335548172757
south,south_20,Thin plastic,Fragment,45,9,1,17.0348757958101,0.525167785234899
south,south_20,Hard plastic,Bottle,48,17,1,17.0893003191194,0.526845637583893
